"Reference","Value","Footprint","QUANTITY"
"C1-C5","MKP1848C71010JY5 100uF 1000V","mcuc:MKP1848C_6pin_52.5x20.3","5"
"J1","M6 lug - module P1","mcuc_dclink:M6_LUG","1"
"J2","M6 lug - module P2","mcuc_dclink:M6_LUG","1"
"J3","M6 lug - module P3","mcuc_dclink:M6_LUG","1"
"J4","M6 lug - battery/busbar DC+ feed","mcuc_dclink:M6_LUG","1"
"J5","M6 lug - module N1","mcuc_dclink:M6_LUG","1"
"J6","M6 lug - module N2","mcuc_dclink:M6_LUG","1"
"J7","M6 lug - module N3","mcuc_dclink:M6_LUG","1"
"J8","M6 lug - battery/busbar DC- feed","mcuc_dclink:M6_LUG","1"
"J9","Sense tap DC_BUS_P (to control board)","mcuc_dclink:TAP_FASTON_2xD1.5","1"
"J10","Sense tap DC_BUS_N (to control board)","mcuc_dclink:TAP_FASTON_2xD1.5","1"
