Ref,Val,Package,PosX,PosY,Rot,Side
"J5","M6 lug - module N1","M6_LUG",83.500000,-9.000000,0.000000,bottom
"J6","M6 lug - module N2","M6_LUG",130.500000,-9.000000,0.000000,bottom
"J7","M6 lug - module N3","M6_LUG",177.500000,-9.000000,0.000000,bottom
"J8","M6 lug - battery/busbar DC- feed","M6_LUG",310.000000,-68.000000,0.000000,bottom
"C1","MKP1848C71010JY5 100uF 1000V","MKP1848C_6pin_52.5x20.3",6.000000,-35.000000,0.000000,top
"C2","MKP1848C71010JY5 100uF 1000V","MKP1848C_6pin_52.5x20.3",65.500000,-35.000000,0.000000,top
"C3","MKP1848C71010JY5 100uF 1000V","MKP1848C_6pin_52.5x20.3",125.000000,-35.000000,0.000000,top
"C4","MKP1848C71010JY5 100uF 1000V","MKP1848C_6pin_52.5x20.3",184.500000,-35.000000,0.000000,top
"C5","MKP1848C71010JY5 100uF 1000V","MKP1848C_6pin_52.5x20.3",244.000000,-35.000000,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",20.000000,-93.000000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",160.000000,-93.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",298.000000,-5.000000,0.000000,top
"J1","M6 lug - module P1","M6_LUG",60.000000,-9.000000,0.000000,top
"J2","M6 lug - module P2","M6_LUG",107.000000,-9.000000,0.000000,top
"J3","M6 lug - module P3","M6_LUG",154.000000,-9.000000,0.000000,top
"J4","M6 lug - battery/busbar DC+ feed","M6_LUG",310.000000,-32.000000,0.000000,top
"J9","Sense tap DC_BUS_P (to control board)","TAP_FASTON_2xD1.5",280.000000,-93.000000,0.000000,top
"J10","Sense tap DC_BUS_N (to control board)","TAP_FASTON_2xD1.5",293.000000,-93.000000,0.000000,top
